Well;Unit;Facies;Facies Thickness;Flow thickness;Core Proportion
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);11,2;31,36;0,589285714
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;18,48;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,68;;
1-AV-001-PR;Paranapanema;Siliciclastics;1,23;1,23;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);29,81;88,48;0,643196203
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;56,91;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,76;;
1-AV-001-PR;Paranapanema;Siliciclastics;2,16;2,16;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);4,48;13,36;0,616766467
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;8,24;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);0,64;;
1-AV-001-PR;Paranapanema;Siliciclastics;0,8;0,8;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);15,04;34,24;0,53271028
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;18,24;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);0,96;;
1-AV-001-PR;Paranapanema;Compound lava (basic);2,16;2,16;
1-AV-001-PR;Paranapanema;Siliciclastics;0,8;0,8;
1-AV-001-PR;Paranapanema;Compound lava (basic);7,52;7,52;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);4,4;7,6;0,252631579
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;1,92;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Paranapanema;Compound lava (basic);11,6;11,6;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);8,88;14,56;0,302197802
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;4,4;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Paranapanema;Siliciclastics;2,16;2,16;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);11,57;25,6;0,504296875
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;12,91;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,12;;
1-AV-001-PR;Paranapanema;Siliciclastics;1,36;1,36;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);14,96;28,24;0,399433428
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;11,28;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);2;;
1-AV-001-PR;Paranapanema;Volcaniclastics (undiff.);6;6;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);5,92;8,48;0,226415094
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;1,92;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);0,64;;
1-AV-001-PR;Paranapanema;Siliciclastics;2,64;2,64;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);4,64;9,04;0,380530973
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;3,44;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);0,96;;
1-AV-001-PR;Paranapanema;Simple lava (basic | rubbly flow top);9,52;23,92;0,528428094
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;12,64;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,76;;
