Well;Unit;Facies;Top Depth;Facies Thickness;Flow Thickness;Core Prop.;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (11.20 m) ;120,69;11,20;31,36;0,59;Unit Thinckness;Avg flow Thickness;Avg Core prop;Simple;Compound;Siliciclastic/volcaniclastic
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (18.48 m) ;131,89;18,48;;;591,55;25,06;0,48;0,85;0,10;0,06
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.68 m) ;150,37;1,68;;;;;;501,18;56,85;33,52
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (1.23 m) ;152,05;1,23;1,23;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (29.81 m) ;153,28;29,81;88,48;0,64;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (56.91 m) ;183,09;56,91;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.76 m) ;240,00;1,76;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (2.16 m) ;241,76;2,16;2,16;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (4.48 m) ;243,92;4,48;13,36;0,62;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (8.24 m) ;248,40;8,24;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.64 m) ;256,64;0,64;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (0.80 m) ;257,28;0,80;0,80;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (15.04 m) ;258,08;15,04;34,24;0,53;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (18.24 m) ;273,12;18,24;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (0.96 m) ;291,36;0,96;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (2.16 m) ;292,32;2,16;2,16;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (0.80 m) ;294,48;0,80;0,80;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (7.52 m) ;295,28;7,52;7,52;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (4.40 m) ;302,80;4,40;7,60;0,25;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (1.92 m) ;307,20;1,92;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.28 m) ;309,12;1,28;;;;;;;;
1-AV-001-PR;Paranapanema; Compound lava (basic):  (11.60 m) ;310,40;11,60;11,60;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (8.88 m) ;322,00;8,88;14,56;0,30;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (4.40 m) ;330,88;4,40;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.28 m) ;335,28;1,28;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (2.16 m) ;336,56;2,16;2,16;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | U. crust):  (11.57 m) ;338,72;11,57;25,60;0,50;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | massive interior):  (12.91 m) ;350,29;12,91;;;;;;;;
1-AV-001-PR;Paranapanema; Simple lava (basic | L. crust):  (1.12 m) ;363,20;1,12;;;;;;;;
1-AV-001-PR;Paranapanema; Siliciclastics (undiff. low GR):  (1.36 m) ;364,32;1,36;1,36;;;;;;;
